index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
1269d9e528555182a6c7f78deb247334,2025-10-20T13:30:59Z,'Hagel',www.stern.de,de,0.0,Debatte: Ärger ums Stadtbild: CDU-Landeschef stellt sich hinter Merz,"CDU-Landeschef Hagel kritisiert eine ""Überreaktion"" auf die Äußerungen des Kanzlers. Merz spreche nur offen über die Lebenswirklichkeit vieler Menschen, sagt er.",https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/debatte--aerger-ums-stadtbild--cdu-landeschef-stellt-sich-hinter-merz-36146370.html,https://image.stern.de/36146372/t/43/v1/w1440/r1.7778/-/20--jdxkqptz33v4axs2048jpeg---397ff9f06108da68.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen

CDU-Landeschef Hagel kritisiert eine ""Überreaktion"" auf die Äußerungen des Kanzlers. Merz spreche nur offen über die Lebenswirklichkeit vieler Me… [+2545 chars]",,"Debatte: Ärger ums Stadtbild: CDU-Landeschef stellt sich hinter Merz. CDU-Landeschef Hagel kritisiert eine ""Überreaktion"" auf die Äußerungen des Kanzlers. Merz spreche nur offen über die Lebenswirklichkeit vieler Menschen, sagt er.","Debate: Trouble about the cityscape: CDU state leader supports Merz. CDU state leader Hagel criticizes an “overreaction” to the Chancellor’s statements. Merz only speaks openly about the reality of many people's lives, he says.","Altercatio: Trouble de cityscape: CDU dux civitatis Merz sustinet. CDU dux civitatis Hagel reprehendit ""overreaction"" cancellarii constitutiones. Merz solum aperte loquitur de multorum vitarum re, inquit.",2025-10-23 00:48:23+00:00
0692e24e565c6488af3b97bdf90ea835,2025-10-21T12:20:33Z,'Hagel',www.welt.de,de,0.0,"„Die Mitte stärken, damit Schreihälse nie wieder das Kommando bekommen“","Manuel Hagel, CDU-Landesvorsitzender in Baden-Württemberg, bekräftigt die „Brandmauer“ zur AfD: „Sie ist Gift für die Wirtschaft bei uns im Land.“ Zugleich verteidigt er Kanzler Merz in der Stadtbild-Debatte. Für die Landtagswahl nennt Hagel die „Deutschlandk…",https://www.welt.de/videos/video68f76aa0cd8cac9cd2ea7840/cdu-landesvorsitzender-hagel-die-mitte-staerken-damit-schreihaelse-nie-wieder-das-kommando-bekommen.html,https://images.welt.de/68f76aa0cd8cac9cd2ea7840/b0e785f4ba9c4501de8a2305b7944e55/ci16x9-w1200/dpa-com-20090101-251008-935-879172-jpg,,"Manuel Hagel, CDU-Landesvorsitzender in Baden-Württemberg, bekräftigt die Brandmauer zur AfD: Sie ist Gift für die Wirtschaft bei uns im Land. Zugleich verteidigt er Kanzler Merz in der Stadtbild-Deb… [+139 chars]",,"„Die Mitte stärken, damit Schreihälse nie wieder das Kommando bekommen“. Manuel Hagel, CDU-Landesvorsitzender in Baden-Württemberg, bekräftigt die „Brandmauer“ zur AfD: „Sie ist Gift für die Wirtschaft bei uns im Land.“ Zugleich verteidigt er Kanzler Merz in der Stadtbild-Debatte. Für die Landtagswahl nennt Hagel die „Deutschlandk…","“Strengthen the middle so that loudmouths never get the command again.” Manuel Hagel, CDU state chairman in Baden-Württemberg, reiterates the “firewall” against the AfD: “It is poison for the economy in our country.” At the same time, he defends Chancellor Merz in the cityscape debate. For the state elections, Hagel calls the “Germany...",""" Confortate medium ut numquam iterum imperium obtineat."" Manuel Hagel, CDU praeses civitatis in Baden-Württemberg, ""fontem murus"" contra AFD repetit: ""Venenum est oeconomiae in patria nostra."" Per idem tempus Merz cancellarium in urbe controversia defendit. Ad comitia publica Hagel vocat ""Germania...",2025-10-23 00:48:23+00:00
14863b2b4acd60998a85d30d06cf2963,2025-10-22T08:00:30Z,'Blitzableiter',tirol.orf.at,de,0.1,Busfahrer hören selten freundliche Worte,"Busfahrerinnen und Busfahrer sind nicht selten der Blitzableiter ihrer Fahrgäste. Sie werden für vieles verantwortlich gemacht, was im öffentlichen Verkehr nicht oder nur unzureichend funktioniert. Mit einer Kampagne will die Wirtschaftskammer den Druck für B…",https://tirol.orf.at/stories/3326837/,https://ibs.orf.at/tir?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2023%2F26%2F11%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F1841318_master_687911_autobus_fahrerkabine_05_coe.jpg%3Fs%3D01b500a5f84dd11654fda0ae240fc5b7a38b4969,,"Die Busfahrerinnen und Busfahrer halten die Mobilität in Tirol am Laufen. Sie sind unverzichtbar für den Alltag, doch ihre Arbeit wird selten geschätzt.
Die Busfahrerinnen und Busfahrer sehen sich v… [+1759 chars]",,"Busfahrer hören selten freundliche Worte. Busfahrerinnen und Busfahrer sind nicht selten der Blitzableiter ihrer Fahrgäste. Sie werden für vieles verantwortlich gemacht, was im öffentlichen Verkehr nicht oder nur unzureichend funktioniert. Mit einer Kampagne will die Wirtschaftskammer den Druck für B…","Bus drivers rarely hear kind words. Bus drivers are often the lightning rod for their passengers. They are held responsible for many things that do not work or work inadequately in public transport. With a campaign, the Chamber of Commerce wants to increase the pressure for...","Raro bus rectoribus benigna verba audiunt. Curriculum curruum saepe virga fulminis vectoribus suis. Multae responsabiles tenentur quae in onerariis publicis non laborant nec laborant. Procinctu, Cubiculum Commercii augere vult impressionem pro...",2025-10-23 00:48:23+00:00
06726ca31248dac6e304a62cc0f9a36b,2025-10-24T07:00:00Z,'Hagel',de.catholicnewsagency.com,de,0.1,"CDU-Chef in Baden-Württemberg: Es gibt „nur den Christen Manuel Hagel, der Politik macht“","Der Chef der CDU in Baden-Württemberg, der im nächsten Jahr dort Ministerpräsident werden könnte, hat betont, es gebe „nur den Christen Manuel Hagel, der Politik macht“, nicht aber „den Politiker Manuel Hagel, der auch Christ ist“.
Im Gespräch mit der katholi…",https://de.catholicnewsagency.com/news/21881/cdu-chef-in-baden-wurttemberg-es-gibt-nur-den-christen-manuel-hagel-der-politik-macht,https://de.catholicnewsagency.com/image/hagel_1761213342.jpg?w=1150&jpg,,"Redaktion -
 Freitag, 24. Oktober 2025, 9:00 Uhr.
Der Chef der CDU in Baden-Württemberg, der im nächsten Jahr dort Ministerpräsident werden könnte, hat betont, es gebe nur den Christen Manuel Hagel… [+3532 chars]",,"CDU-Chef in Baden-Württemberg: Es gibt „nur den Christen Manuel Hagel, der Politik macht“. Der Chef der CDU in Baden-Württemberg, der im nächsten Jahr dort Ministerpräsident werden könnte, hat betont, es gebe „nur den Christen Manuel Hagel, der Politik macht“, nicht aber „den Politiker Manuel Hagel, der auch Christ ist“.
Im Gespräch mit der katholi…","CDU leader in Baden-Württemberg: There is “only the Christian Manuel Hagel who does politics”. The head of the CDU in Baden-Württemberg, who could become prime minister there next year, emphasized that there is “only the Christian Manuel Hagel who does politics”, but not “the politician Manuel Hagel, who is also a Christian”.
In conversation with the Catholic…","CDU dux in Baden-Württemberg: ""Solus Christianus Manuel Hagel qui politicam agit"". Caput CDU in Baden-Württemberg, qui primus minister ibi proximo anno fieri potuit, affirmavit ""solum Christianum Manuel Hagel qui politicam agit"", sed non ""manuelem Hagel politicum, qui etiam Christianus est"".
In colloquio cum catholicis…",2025-10-23 00:48:23+00:00
5e2f21f85c4613dcb8eafb0b2ea6b11c,2025-10-26T13:31:58Z,'Hagel',www.welt.de,de,0.1,Der Mann für die kontrollierte Eskalation gegenüber den Grünen,Schon jetzt wird bei der CDU Baden-Württemberg alles auf ihn ausgerichtet: Der Spitzenkandidat Hagel soll den Grünen Kretschmann 2026 als Ministerpräsident beerben. Er gibt sich dezidiert konservativ. Die schwarz-grünen Koalitionspartner driften inhaltlich be…,https://www.welt.de/politik/deutschland/plus68fa2c42c00d9a7eefc70ae5/cdu-spitzenkandidat-hagel-der-mann-fuer-die-kontrollierte-eskalation-gegenueber-den-gruenen.html,https://images.welt.de/68fa2c42c00d9a7eefc70ae5/c8ae2a9d45a916ea9a7538e771883a92/ci16x9-w1200/dpapicture-2-543655958-jbh-jpg,,Die WELT als ePaper: Die vollständige Ausgabe steht Ihnen bereits am Vorabend zur Verfügung so sind Sie immer hochaktuell informiert. Weitere Informationen https://epaper.welt.de,,Der Mann für die kontrollierte Eskalation gegenüber den Grünen. Schon jetzt wird bei der CDU Baden-Württemberg alles auf ihn ausgerichtet: Der Spitzenkandidat Hagel soll den Grünen Kretschmann 2026 als Ministerpräsident beerben. Er gibt sich dezidiert konservativ. Die schwarz-grünen Koalitionspartner driften inhaltlich be…,The man for controlled escalation against the Greens. Everything in the CDU Baden-Württemberg is already geared towards him: the top candidate Hagel is expected to succeed the Green Kretschmann as Prime Minister in 2026. He is decidedly conservative. The black-green coalition partners are drifting in terms of content...,Virum propter propagationem contra Prasinos regente. Omnia in CDU Baden-Württemberg iam ad eum machinantur: summus candidatus Hagel succedere expectatur Green Kretschmann sicut primus minister anno 2026. Is facile conservativus est. Socii coitionem nigrae viridis vagantur in verbis contenti...,2025-10-23 00:48:23+00:00
1492e2688557a130d94b0d4e706ba505,2025-10-31T11:31:32Z,'Hagel',www.stern.de,de,0.1,Bekenntnis: CDU-Kandidat Hagel verspricht: Werde nie an der Kunst sparen,"Der CDU-Spitzenkandidat stellt klar: Theater, Museen und Musikschulen bleiben in Zukunft unangetastet – ganz gleich, welche Sparzwänge auch herrschen mögen. Ob er sein Versprechen halten kann?",https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/bekenntnis--cdu-kandidat-hagel-verspricht--werde-nie-an-der-kunst-sparen-36178666.html,https://image.stern.de/36178668/t/1s/v1/w1440/r1.7778/-/31--wvz4ejicdev3axs2048jpeg---2f0a1c070d7a1f91.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen

Der CDU-Spitzenkandidat stellt klar: Theater, Museen und Musikschulen bleiben in Zukunft unangetastet ganz gleich, welche Sparzwänge auch herrsch… [+1124 chars]",,"Bekenntnis: CDU-Kandidat Hagel verspricht: Werde nie an der Kunst sparen. Der CDU-Spitzenkandidat stellt klar: Theater, Museen und Musikschulen bleiben in Zukunft unangetastet – ganz gleich, welche Sparzwänge auch herrschen mögen. Ob er sein Versprechen halten kann?","Confession: CDU candidate Hagel promises: I will never skimp on art. The CDU top candidate makes it clear: theaters, museums and music schools will remain untouched in the future - no matter what austerity constraints may prevail. Can he keep his promise?","Confessio: CDU candidatus Hagel promisit: ego numquam in arte skil. In candidato summo CDU manifestat: theatra, musea et scholae musicae intacta in posterum manebunt - quaecunque coactiones austeritatis praevalebunt. Promissum servare potest?",2025-10-23 00:48:23+00:00
dbd9a626cb6dd89f1c0f705d760ac27a,2025-10-31T11:31:32Z,'Hagel',www.zeit.de,de,0.1,Bekenntnis: CDU-Kandidat Hagel verspricht: Werde nie an der Kunst sparen,Hier finden Sie Informationen zu dem Thema „Bekenntnis“. Lesen Sie jetzt „CDU-Kandidat Hagel verspricht: Werde nie an der Kunst sparen“.,https://www.zeit.de/news/2025-10/31/cdu-kandidat-hagel-verspricht-werde-nie-an-der-kunst-sparen,https://img.zeit.de/news/2025-10/31/cdu-kandidat-hagel-verspricht-werde-nie-an-der-kunst-sparen-image-group/wide__1300x731,,"CDU-Landeschef und Spitzenkandidat Manuel Hagel hat versprochen, im Falle einer künftigen Regierungsbeteiligung nie im Kunst-, Kultur- und Medienbereich zu kürzen. Er wolle für seine Partei ein Beken… [+918 chars]",,Bekenntnis: CDU-Kandidat Hagel verspricht: Werde nie an der Kunst sparen. Hier finden Sie Informationen zu dem Thema „Bekenntnis“. Lesen Sie jetzt „CDU-Kandidat Hagel verspricht: Werde nie an der Kunst sparen“.,Confession: CDU candidate Hagel promises: I will never skimp on art. Here you will find information on the topic of “Confession”. Now read “CDU candidate Hagel promises: I will never skimp on art”.,"Confessio: CDU candidatus Hagel promisit: ego numquam in arte skil. Hic informationes invenies in argumento ""Confessionis"". Nunc lege ""CDU candidatus Hagel promittit: numquam artem transiliet"".",2025-10-23 00:48:23+00:00
95178a0fba5aedf6b97859c45235b9bb,2025-10-16T15:30:29Z,'Gewitter Warnung',www.ibiza-heute.de,de,0.9,Regenwarnung für Freitag auf Pityusen,"Der spanische Wetterdienst Aemet hat für Freitag, 17. Oktober, wieder die Warnstufe Gelb für Ibiza und Formentera verhängt. Das ist die niedrigste Warnstufe, aber Gewitter und Niederschläge mit 20 Litern pro Quadratmeter in einer Stunde sind nicht zu untersch…",https://www.ibiza-heute.de/regenwarnung-fuer-freitag-auf-pityusen/,https://www.ibiza-heute.de/wp-content/uploads/2020/10/Regen-0098.jpg,,"Der spanische Wetterdienst Aemet hat für Freitag, 17. Oktober, wieder die Warnstufe Gelb für Ibiza und Formentera verhängt. Das ist die niedrigste Warnstufe, aber Gewitter und Niederschläge mit 20 Li… [+479 chars]",,"Regenwarnung für Freitag auf Pityusen. Der spanische Wetterdienst Aemet hat für Freitag, 17. Oktober, wieder die Warnstufe Gelb für Ibiza und Formentera verhängt. Das ist die niedrigste Warnstufe, aber Gewitter und Niederschläge mit 20 Litern pro Quadratmeter in einer Stunde sind nicht zu untersch…","Rain warning for Friday on Pityusen. The Spanish weather service Aemet has again imposed a yellow warning level for Ibiza and Formentera for Friday, October 17th. This is the lowest warning level, but thunderstorms and rainfall of 20 liters per square meter in an hour are not to be ignored...","Pluviis admonitio Veneris in Pityusen. Ministerium tempestatis Hispanicae Aemet iterum flavo monitionis gradu in Ibiza et Formentera Veneris die 17 Octobris imposuit. Hoc planum est infimus admonitio, sed tonitruum et pluviarum 20 liters per metrum quadrangulum in hora non sunt neglecta...",2025-10-23 00:48:23+00:00
f293a0f61128a94e36b1222b47c4db15,2025-10-20T04:12:02Z,'Gewitter',www.zeit.de,de,0.9,"Wettermeldung: Wechselhaftes Wetter in NRW – Regen, Wind und Gewitter","Hier finden Sie Informationen zu dem Thema „Wettermeldung“. Lesen Sie jetzt „Wechselhaftes Wetter in NRW – Regen, Wind und Gewitter“.",https://www.zeit.de/news/2025-10/20/wechselhaftes-wetter-in-nrw-regen-wind-und-gewitter,https://img.zeit.de/news/2025-10/20/wechselhaftes-wetter-in-nrw-regen-wind-und-gewitter-image-group/wide__1300x731,http://web.archive.org/web/20251021103438/https://www.zeit.de/news/2025-10/20/wechselhaftes-wetter-in-nrw-regen-wind-und-gewitter,"In Nordrhein-Westfalen zeigt sich das Wetter in den kommenden Tagen von seiner herbstlichen Seite. Wie der Deutsche Wetterdienst (DWD) am Montag mitteilte, bleibt es zunächst stark bewölkt mit zeitwe… [+1019 chars]",,"Wettermeldung: Wechselhaftes Wetter in NRW – Regen, Wind und Gewitter. Hier finden Sie Informationen zu dem Thema „Wettermeldung“. Lesen Sie jetzt „Wechselhaftes Wetter in NRW – Regen, Wind und Gewitter“.","Weather report: Changeable weather in NRW – rain, wind and thunderstorms. Here you will find information on the topic of “weather reports”. Now read “Changable weather in NRW – rain, wind and thunderstorms”.","Renuntiatio tempestatis: tempestas mutabilis in NRW - pluvia, ventus et tonitribus. Hic informationes invenies in argumento ""tempestatis relationum"". Nunc lege ""Tempestas mutabilis in NRW - pluvia, venti et tonitrua"".",2025-10-23 00:48:23+00:00
b7797d42c87610e5b46fff2c9822e865,2025-10-20T04:20:20Z,'Gewitter',www.zeit.de,de,0.9,Wetterprognose: Herbstwetter in Hessen: Zum Wochenstart Regen und Gewitter,Hier finden Sie Informationen zu dem Thema „Wetterprognose“. Lesen Sie jetzt „Herbstwetter in Hessen: Zum Wochenstart Regen und Gewitter“.,https://www.zeit.de/news/2025-10/20/herbstwetter-in-hessen-zum-wochenstart-regen-und-gewitter,https://img.zeit.de/news/2025-10/20/herbstwetter-in-hessen-zum-wochenstart-regen-und-gewitter-image-group/wide__1300x731,,"In Hessen startet die Woche wechselhaft und windig. Wie der Deutsche Wetterdienst (DWD) am Montag mitteilte, verdichtet sich die Bewölkung im Tagesverlauf, zeitweise kommt es zu Regen. Die Menschen i… [+877 chars]",,Wetterprognose: Herbstwetter in Hessen: Zum Wochenstart Regen und Gewitter. Hier finden Sie Informationen zu dem Thema „Wetterprognose“. Lesen Sie jetzt „Herbstwetter in Hessen: Zum Wochenstart Regen und Gewitter“.,Weather forecast: Autumn weather in Hesse: Rain and thunderstorms at the start of the week. Here you will find information on the topic of “weather forecast”. Now read “Autumn weather in Hesse: Rain and thunderstorms at the start of the week”.,"Tempestas praenuntietur: tempestas autumnus in Hassia: Pluvia et procellis ante initium septimanae. Hic informationes invenies in argumento ""tempestatis praesagio"". Nunc legitur ""Tempestas autumnalis in Hassia: Nubila et tonitrua ineunte hebdomade"".",2025-10-23 00:48:23+00:00
